Controller,Longitudinal,GDP_Scenario,Peak_Speed_mps,Speed_Mode,RMS_CTE_m,Peak_CTE_m,RMS_Heading_Err_deg,RMS_Speed_Err_mps,Peak_Speed_Err_mps,Peak_Lon_Dev_m,RMS_Lon_Dev_m,Loop_Time_s,Goal_Reached,Termination,REQ1_Lat_Pass,REQ1_Lon_Pass,Overall_Pass
pp+pid,pid,GDP-S3,4,profile,0.6774,2.0407,3.4008,0.1976,2.9908,1.7373,0.2127,139.35,true,goal_reached,FAIL,FAIL,FAIL
pp+pid,pid,GDP-S3,5,profile,0.6918,2.0258,3.4688,0.2279,3.2708,2.0462,0.2576,133.05,true,goal_reached,FAIL,FAIL,FAIL
pp+pid,pid,GDP-S3,7,profile,0.8521,2.5127,4.1316,0.2942,3.4444,2.2494,0.3532,93.65,true,goal_reached,FAIL,FAIL,FAIL
pp+pid,pid,GDP-S3-EXT,10,constant,1.0994,4.1651,7.0465,2.171,9.4929,14.5741,4.4304,34.8,true,goal_reached,FAIL,FAIL,FAIL
pp+lqr,lqr,GDP-S1,0.5,constant,8.6129,26.6276,50.6266,0.051,0.0736,0.1607,0.126,400,false,max_travel_time,FAIL,PASS,FAIL
pp+lqr,lqr,GDP-S2,2,constant,0.6032,2.024,3.0347,0.0686,1.4929,0.5105,0.0903,174.85,true,goal_reached,FAIL,PASS,FAIL
pp+lqr,lqr,GDP-S3,3,profile,0.4024,1.5206,6.084,0.1121,2.4534,1.1983,0.1044,250,false,max_travel_time,FAIL,FAIL,FAIL
pp+lqr,lqr,GDP-S3,4,profile,0.6756,2.0117,3.3764,0.191,2.9908,1.7373,0.2053,139.35,true,goal_reached,FAIL,FAIL,FAIL
pp+lqr,lqr,GDP-S3,5,profile,0.6928,2.0411,3.469,0.2219,3.2708,2.0462,0.2475,133,true,goal_reached,FAIL,FAIL,FAIL
pp+lqr,lqr,GDP-S3,7,profile,0.8506,2.4925,4.1182,0.2845,3.4444,2.2494,0.3358,93.6,true,goal_reached,FAIL,FAIL,FAIL
pp+lqr,lqr,GDP-S3-EXT,10,constant,1.1554,4.5938,7.4156,2.0731,9.4929,14.5741,4.4782,34.75,true,goal_reached,FAIL,FAIL,FAIL
mpc+pid,pid,GDP-S1,0.5,constant,0.1707,0.3041,25.564,0.0192,0.0823,0.2042,0.1057,400,false,max_travel_time,PASS,PASS,PASS
mpc+pid,pid,GDP-S2,2,constant,0.0602,0.2028,2.0018,0.0664,1.4929,0.5169,0.1013,177.85,true,goal_reached,PASS,PASS,PASS
mpc+pid,pid,GDP-S3,3,profile,0.0349,0.1485,6.5944,0.112,2.4534,1.1992,0.1141,250,false,max_travel_time,PASS,FAIL,FAIL
mpc+pid,pid,GDP-S3,4,profile,0.0673,0.2074,2.2277,0.1956,2.9908,1.7377,0.2126,142.35,true,goal_reached,PASS,FAIL,FAIL
mpc+pid,pid,GDP-S3,5,profile,0.0688,0.2093,2.2802,0.2254,3.2708,2.0462,0.2568,136.05,true,goal_reached,PASS,FAIL,FAIL
mpc+pid,pid,GDP-S3,7,profile,0.0908,0.2834,2.6841,0.2902,3.4444,2.2493,0.3492,96.2,true,goal_reached,PASS,FAIL,FAIL
mpc+pid,pid,GDP-S3-EXT,10,constant,13.5851,23.0719,55.3805,1.0765,9.4929,14.5701,2.1664,150,false,max_travel_time,FAIL,FAIL,FAIL
mpc+lqr,lqr,GDP-S1,0.5,constant,0.1706,0.3006,25.5771,0.0187,0.0736,0.1213,0.0507,400,false,max_travel_time,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S2,2,constant,0.0602,0.2056,2.0012,0.0685,1.4929,0.5112,0.0939,177.85,true,goal_reached,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S3,3,profile,0.0344,0.1469,6.5603,0.1121,2.4534,1.1992,0.1057,250,false,max_travel_time,PASS,FAIL,FAIL
mpc+lqr,lqr,GDP-S3,4,profile,0.0671,0.2048,2.2272,0.1891,2.9908,1.7377,0.2051,142.35,true,goal_reached,PASS,FAIL,FAIL
mpc+lqr,lqr,GDP-S3,5,profile,0.0691,0.2043,2.2817,0.2195,3.2708,2.0462,0.2462,136,true,goal_reached,PASS,FAIL,FAIL
mpc+lqr,lqr,GDP-S3,7,profile,0.0902,0.2782,2.6744,0.2807,3.4444,2.2493,0.3323,96.15,true,goal_reached,PASS,FAIL,FAIL
mpc+lqr,lqr,GDP-S3-EXT,10,constant,13.237,24.505,55.802,1.003,9.4929,14.5701,2.1499,150,false,max_travel_time,FAIL,FAIL,FAIL
mpc_combined,none,GDP-S1,0.5,constant,0.2547,0.5235,24.0252,0.0721,0.0925,0.29,0.2791,400,false,max_travel_time,PASS,PASS,PASS
mpc_combined,none,GDP-S2,2,constant,0.0643,0.2529,1.9807,0.0673,1.4929,0.5155,0.1001,177.8,true,goal_reached,PASS,PASS,PASS
mpc_combined,none,GDP-S3,3,profile,0.0458,0.154,6.5569,0.1134,2.4534,1.2009,0.1131,250,false,max_travel_time,PASS,FAIL,FAIL
mpc_combined,none,GDP-S3,4,profile,0.0943,0.2957,2.2101,0.197,2.9908,1.7418,0.2087,142.25,true,goal_reached,PASS,FAIL,FAIL
mpc_combined,none,GDP-S3,5,profile,0.0858,0.2606,2.2607,0.2267,3.2708,2.0517,0.2569,135.95,true,goal_reached,PASS,FAIL,FAIL
mpc_combined,none,GDP-S3,7,profile,0.1161,0.338,2.6079,0.2925,3.4444,2.2554,0.3534,96.1,true,goal_reached,PASS,FAIL,FAIL
mpc_combined,none,GDP-S3-EXT,10,constant,1.2259,5.2605,5.8913,2.1416,9.4929,14.6006,4.3511,36.25,true,goal_reached,FAIL,FAIL,FAIL
